time,date,hour,precip [mm/day],TRAPPING_CREEK_NEAR_THE_MOUTH [m3/s],TRAPPING_CREEK_NEAR_THE_MOUTH (observed) [m3/s]
239,1980-08-27,00:00:00.00,4.71508,0.708556,0.197
240,1980-08-28,00:00:00.00,2.85573,0.690261,0.195
241,1980-08-29,00:00:00.00,3.09639,0.67391,0.228
242,1980-08-30,00:00:00.00,0,0.657443,0.24
243,1980-08-31,00:00:00.00,3.38886,0.642978,0.227
244,1980-09-01,00:00:00.00,0,0.628986,0.22
245,1980-09-02,00:00:00.00,5.55739,0.619766,0.241
246,1980-09-03,00:00:00.00,2.802,0.612562,0.432
247,1980-09-04,00:00:00.00,0,0.598347,0.426
248,1980-09-05,00:00:00.00,0,0.582874,0.333
249,1980-09-06,00:00:00.00,0,0.56786,0.261
250,1980-09-07,00:00:00.00,0,0.553328,0.22
251,1980-09-08,00:00:00.00,0,0.539259,0.224
252,1980-09-09,00:00:00.00,0,0.525637,0.209
253,1980-09-10,00:00:00.00,0,0.512443,0.19
254,1980-09-11,00:00:00.00,0,0.499661,0.172
255,1980-09-12,00:00:00.00,0,0.487277,0.173
256,1980-09-13,00:00:00.00,9.49136,0.50294,0.168
257,1980-09-14,00:00:00.00,7.61862,0.582933,0.563
258,1980-09-15,00:00:00.00,2.06324,0.63343,0.759
259,1980-09-16,00:00:00.00,0,0.61749,0.466
260,1980-09-17,00:00:00.00,0,0.601354,0.365
261,1980-09-18,00:00:00.00,0,0.585743,0.319
262,1980-09-19,00:00:00.00,1.27543,0.57069,0.278
263,1980-09-20,00:00:00.00,5.60233,0.572309,0.279
264,1980-09-21,00:00:00.00,0,0.573828,0.431
265,1980-09-22,00:00:00.00,2.23125,0.559424,0.499
266,1980-09-23,00:00:00.00,3.07356,0.547478,0.432
267,1980-09-24,00:00:00.00,0,0.535717,0.41
268,1980-09-25,00:00:00.00,0,0.522319,0.377
269,1980-09-26,00:00:00.00,0,0.509212,0.344
270,1980-09-27,00:00:00.00,0,0.496514,0.3
271,1980-09-28,00:00:00.00,0,0.484217,0.282
272,1980-09-29,00:00:00.00,0,0.4723,0.265
273,1980-09-30,00:00:00.00,0,0.460743,0.264
274,1980-10-01,00:00:00.00,0,0.449539,0.309
275,1980-10-02,00:00:00.00,0,0.438674,0.3
276,1980-10-03,00:00:00.00,0,0.428137,0.261
277,1980-10-04,00:00:00.00,0,0.417915,0.244
278,1980-10-05,00:00:00.00,0,0.407998,0.229
279,1980-10-06,00:00:00.00,0,0.398374,0.225
280,1980-10-07,00:00:00.00,0,0.389033,0.22
281,1980-10-08,00:00:00.00,0,0.379965,0.207
282,1980-10-09,00:00:00.00,0,0.371161,0.198
283,1980-10-10,00:00:00.00,0,0.362611,0.201
284,1980-10-11,00:00:00.00,0,0.354307,0.204
285,1980-10-12,00:00:00.00,0,0.346239,0.201
286,1980-10-13,00:00:00.00,0,0.338401,0.214
287,1980-10-14,00:00:00.00,0,0.330784,0.311
288,1980-10-15,00:00:00.00,0,0.32338,0.312
289,1980-10-16,00:00:00.00,0,0.316183,0.265
290,1980-10-17,00:00:00.00,0,0.309186,0.232
291,1980-10-18,00:00:00.00,0,0.302382,0.22
292,1980-10-19,00:00:00.00,0,0.295764,0.208
293,1980-10-20,00:00:00.00,3.77405,0.289348,0.2
294,1980-10-21,00:00:00.00,3.70815,0.285878,0.198
295,1980-10-22,00:00:00.00,0,0.28248,0.192
296,1980-10-23,00:00:00.00,0,0.2764,0.187
297,1980-10-24,00:00:00.00,0,0.270483,0.182
298,1980-10-25,00:00:00.00,5.23667,0.26476,0.171
299,1980-10-26,00:00:00.00,2.69274,0.260233,0.184
